WKT,id
"POINT (481153.756262164 5577871.12394045)",
"POINT (481188.062471971 5577870.52207712)",
"POINT (481156.765578814 5577897.00406364)",
"POINT (481187.310142808 5577896.70313197)",
"POINT (481163.687007108 5577923.93744765)",
"POINT (481189.115732798 5577925.14117431)",
"POINT (481164.890733768 5577947.56058335)",
"POINT (481186.708279478 5577947.41011752)",
