WKT,id
"POINT (481143.317695036 5577833.13131775)",
"POINT (481161.674526599 5577840.05274605)",
"POINT (481182.438811482 5577841.85833604)",
"POINT (481201.09657471 5577843.66392603)",
"POINT (481226.073902902 5577837.64529273)",
"POINT (481227.879492892 5577858.10864594)",
"POINT (481258.273591054 5577855.70119262)",
"POINT (481223.967381248 5577884.89156413)",
"POINT (481249.847504435 5577886.39622245)",
"POINT (481265.195019348 5577836.74249773)",
"POINT (481288.366757551 5577837.0434294)",
"POINT (481290.473279206 5577862.92355258)",
"POINT (481321.770172363 5577863.82634758)",
"POINT (481297.99657083 5577886.39622245)",
"POINT (481272.718310973 5577886.69715412)",
"POINT (481217.045952953 5577922.20709058)",
"POINT (481233.597194527 5577923.71174891)",
"POINT (481249.847504435 5577923.71174891)",
"POINT (481267.000609338 5577925.81827056)",
"POINT (481284.153714242 5577925.81827056)",
"POINT (481301.60775081 5577927.02199722)",
"POINT (481209.673127162 5577945.37882879)",
"POINT (481227.12716373 5577947.78628211)",
"POINT (481243.527939471 5577947.93674794)",
"POINT (481260.530578541 5577947.93674794)",
"POINT (481277.834149277 5577949.89280376)",
"POINT (481294.084459185 5577948.83954293)",
"POINT (481310.635700759 5577950.04326959)",
"POINT (481327.186942332 5577950.49466709)",
"POINT (481327.63833983 5577927.02199722)",
"POINT (481328.541134825 5577911.52401648)",
"POINT (481330.045793149 5577891.51206076)",
"POINT (481351.86333886 5577904.30165652)",
"POINT (481350.358680535 5577925.66780473)",
"POINT (481352.013804692 5577950.64513292)",
"POINT (481371.423897083 5577951.99932542)",
"POINT (481372.47715791 5577924.6145439)",
"POINT (481372.928555407 5577899.18581821)",
"POINT (481373.981816235 5577880.07665749)",
"POINT (481353.668928849 5577877.51873834)",
"POINT (481321.469240698 5577838.54808772)",
"POINT (481354.571723844 5577841.40693854)",
"POINT (481374.734145397 5577841.55740437)",
"POINT (481415.811317666 5577844.71718685)",
"POINT (481435.221410056 5577848.02743517)",
"POINT (481464.411781558 5577844.71718685)",
"POINT (481464.712713223 5577865.93286923)",
"POINT (481495.558208882 5577868.34032255)",
"POINT (481455.383831609 5577892.71578741)",
"POINT (481480.361159801 5577893.46811658)",
"POINT (481504.586158831 5577896.02603573)",
"POINT (481501.275910517 5577845.92091351)",
"POINT (481524.899046217 5577847.7265035)",
"POINT (481525.952307044 5577872.2524342)",
"POINT (481530.165350354 5577895.4241724)",
"POINT (481554.691281049 5577898.43348905)",
"POINT (481555.443610211 5577871.65057087)",
"POINT (481556.346405206 5577919.95010309)",
"POINT (481559.656653521 5577848.47883266)",
"POINT (481561.161311846 5577815.07541785)",
"POINT (481557.249200201 5577798.22324461)",
"POINT (481561.161311846 5577779.41501555)",
"POINT (481559.054790191 5577754.73861903)",
"POINT (481554.691281049 5577936.6518105)",
"POINT (481532.723269506 5577933.34156219)",
"POINT (481514.366437943 5577932.43876719)",
"POINT (481498.717991365 5577933.04063052)",
"POINT (481480.361159801 5577929.73038221)",
"POINT (481465.465042385 5577928.60188846)",
"POINT (481448.236704566 5577931.38550636)",
"POINT (481443.045633345 5577956.36283455)",
