WKT,id
"POINT (481527.983595783 5578058.07773731)",
"POINT (481554.916979797 5578060.3347248)",
"POINT (481548.898346498 5578089.82602797)",
"POINT (481521.363099153 5578085.91391632)",
"POINT (481523.168689143 5578110.43984702)",
"POINT (481547.544154006 5578112.6968345)",
"POINT (481540.321794046 5578142.48906934)",
"POINT (481513.990273362 5578137.97509436)",
"POINT (481500.899745935 5578237.2825438)",
"POINT (481499.696019276 5578260.15335034)",
"POINT (481496.385770961 5578285.58207603)",
"POINT (481448.688102063 5578363.07197976)",
"POINT (481417.391208906 5578377.21576801)",
"POINT (481390.909222389 5578353.14123482)",
