WKT,id
"MULTILINESTRING ((481690.953880838 5577509.87063137,481695.768787478 5577467.74019828,481412.893022407 5577477.37001155,481391.225942529 5577860.1550894,481344.280602794 5577860.45602106,481340.368491149 5577936.29080063,481357.521596052 5577936.89266396,481363.540229352 5577942.00850226,481371.364452641 5577942.00850226))",
"MULTILINESTRING ((481141.753592269 5577856.54390941,481203.444583588 5577858.95136273,481202.842720258 5577873.99794598,481346.988987778 5577879.11378429))",
"MULTILINESTRING ((481158.003902177 5577888.74359757,481202.240856928 5577888.14173424,481202.842720258 5577873.99794598))",
"MULTILINESTRING ((481163.721603812 5577916.42931074,481201.638993598 5577917.93396907,481199.833403608 5577934.18427898,481340.669422814 5577940.50384394,481340.368491149 5577936.29080063))",
"MULTILINESTRING ((481391.225942529 5577860.1550894,481435.462897279 5577863.46533771,481429.44426398 5577986.24545702))",
"MULTILINESTRING ((481427.939605655 5577942.30943393,481568.173761531 5577947.12434057,481561.252333237 5577989.55570533))",
"MULTILINESTRING ((481429.44426398 5577882.72496427,481575.39612149 5577887.84080257,481588.035251419 5577787.9314898,481572.98866817 5577787.32962647,481574.19239483 5577755.12993832))",
"MULTILINESTRING ((481568.474693196 5577774.69049654,481642.804814443 5577775.8942232))",
"MULTILINESTRING ((481391.225942529 5577860.1550894,481371.966315971 5578341.94668501,481450.208548863 5578352.17836162))",
"MULTILINESTRING ((481370.085493065 5578295.37750986,481424.102726927 5578301.24567732,481425.306453587 5578289.96073989,481467.28642085 5578295.22704403))",
"MULTILINESTRING ((481405.444963699 5578274.76369081,481404.241237039 5578287.85421823,481425.306453587 5578289.96073989))",
"MULTILINESTRING ((481378.662045516 5578093.151431,481428.917633566 5578098.56820097,481431.926950216 5578069.37782947,481418.385025292 5578067.27130781,481420.190615282 5578053.12751956))",
"MULTILINESTRING ((481431.926950216 5578069.37782947,481505.655208134 5578079.30857441,481500.238438164 5578129.2632308,481540.864212935 5578134.68000077))",
"MULTILINESTRING ((481505.655208134 5578079.30857441,481552.901479534 5578083.52161772))",
"MULTILINESTRING ((481374.148070542 5578156.64801231,481432.829745211 5578163.26850894,481434.334403536 5578150.93031067,481504.150549809 5578161.76385061,481498.432848174 5578206.00080536))",
"MULTILINESTRING ((481370.536890562 5578232.18186022,481421.695273607 5578236.09397186,481425.306453587 5578207.80639535,481486.395581576 5578217.7371403,481479.173221616 5578283.94210659))",
"MULTILINESTRING ((481457.205210073 5578289.35887656,481447.876328459 5578340.21632794))",
