WKT,id
"POINT (481425.159007508 5577870.37161129)",
"POINT (481424.858075843 5577880.75375373)",
"POINT (481423.654349184 5577891.13589617)",
"POINT (481423.654349184 5577901.36757278)",
"POINT (481423.804815016 5577917.61788269)",
"POINT (481422.751554189 5577928.75235429)",
"POINT (481422.450622524 5577939.28496257)",
"POINT (481423.353417519 5577957.19039663)",
"POINT (481421.848759194 5577968.1744024)",
"POINT (481422.149690859 5577977.95468151)",
"POINT (481517.845960319 5578162.42579214)",
"POINT (481518.598289482 5578172.95840042)",
"POINT (481516.792699492 5578181.98635037)",
"POINT (481516.943165324 5578192.21802697)",
"POINT (481515.889904497 5578201.39644276)",
"POINT (481466.499494984 5578335.80004762)",
"POINT (481466.499494984 5578325.86930268)",
"POINT (481468.154619141 5578315.63762607)",
"POINT (481469.057414136 5578306.91060778)",
