time [h]	MFH3_0 [W]
0	978.4854331
1	1104.479091
2	1164.311007
3	1195.734066
4	1204.399898
5	18500.64645
6	14562.81716
7	10822.79491
8	10615.7192
9	9821.77831
10	9155.187463
11	8535.241398
12	7516.893139
13	7767.297998
14	8114.006621
15	8152.060926
16	8206.241213
17	7963.597925
18	6697.557589
19	6415.654316
20	8264.113898
21	5328.280823
22	6192.603343
23	861.1576072
24	901.6232735
25	918.3520965
26	923.7023057
27	938.396542
28	957.0845965
29	15086.2334
30	12212.11612
31	8788.283684
32	8697.706904
33	8050.633017
34	7456.156962
35	6974.412074
36	5802.942336
37	5307.482827
38	5571.150176
39	5812.738494
40	6138.046281
41	6128.702253
42	5140.496018
43	4947.888488
44	6949.469549
45	6942.838304
46	6996.641816
47	636.6748883
48	706.001542
49	730.7180011
50	734.7871743
51	742.2473251
52	762.4424807
53	12131.33549
54	10524.99171
55	7268.522866
56	7140.343912
57	5875.057127
58	4965.370862
59	4370.970161
60	3562.78716
61	3693.829607
62	4080.174991
63	4375.41611
64	5239.437209
65	5605.662793
66	4916.992915
67	4968.158999
68	7127.081422
69	4069.775993
70	4598.391728
71	678.7983659
72	756.5647862
73	810.6697181
74	842.3188426
75	843.3738134
76	840.4349661
77	13366.10348
78	11282.83754
79	7945.211291
80	7695.484627
81	5704.905405
82	5300.550162
83	4975.61915
84	5139.591757
85	5311.25058
86	5672.125955
87	5652.533639
88	5755.619359
89	5606.717764
90	4600.80309
91	4401.715025
92	6488.673367
93	6387.923654
94	6458.983474
95	569.7595964
96	631.4000342
97	670.5846645
98	689.0466539
99	707.5086432
100	730.6426461
101	11222.17671
102	9805.350907
103	6538.407706
104	6665.305624
105	6291.243114
106	5805.956538
107	5613.047589
108	5506.194116
109	5602.723946
110	5822.911426
111	5603.176076
112	5539.651762
113	5141.852409
114	4057.719184
115	3813.568795
116	5966.161392
117	3008.701416
118	3236.951888
119	438.2650196
120	495.3841538
121	513.1679476
122	529.218575
123	547.5298542
124	555.8942657
125	8758.970566
126	8374.885834
127	5294.371047
128	5218.563858
129	3002.823721
130	2209.259602
131	2190.194772
132	2316.48985
133	2014.466776
134	2210.992768
135	2567.648259
136	3712.743727
137	3793.599704
138	3582.530186
139	3382.462506
140	5774.985609
141	2974.565575
142	3288.344038
143	444.5194894
144	518.5181567
145	579.1789787
146	637.579149
147	668.9268533
148	680.9836626
149	10682.18237
150	9714.321996
151	6775.700785
152	6380.614213
153	3642.362102
154	2900.566907
155	2680.454782
156	2732.449772
157	2438.94182
158	2654.834062
159	2632.227544
160	3315.622569
161	3578.310302
162	3517.19735
163	3582.15341
164	6045.887044
165	3156.849461
166	3499.413556
167	454.1649369
168	542.8578406
169	604.4982783
170	662.8230935
171	715.8730546
172	753.9273591
173	12135.1786
174	10821.73993
175	7703.396908
176	7817.484467
177	7334.684608
178	6693.488416
179	5377.412321
180	4014.61609
181	3425.339534
182	3093.099081
183	3623.221917
184	4961.979884
185	5488.033547
186	4856.030672
187	5186.010473
188	7563.68863
189	4507.965658
190	5085.26076
191	665.4605206
192	724.3881762
193	769.5258562
194	798.2361334
195	819.3355498
196	839.3799953
197	13647.2532
198	11671.21751
199	8224.552492
200	7870.986558
201	6004.291052
202	5602.422526
203	5121.732608
204	4210.916017
205	4218.225458
206	4728.228493
207	5179.831358
208	5846.49756
209	6017.176767
210	5113.142132
211	5137.55717
212	7405.216942
213	4391.014607
214	5045.247224
215	722.2028795
216	791.5295333
217	831.4677142
218	870.0495041
219	911.0426558
220	944.4249467
221	14724.2277
222	12363.57978
223	8942.761554
224	8883.231057
225	7394.667234
226	5718.620026
227	5546.056942
228	6144.376105
229	6439.240449
230	6642.171621
231	6612.783148
232	6894.385002
233	6843.143562
234	5838.886699
235	5749.66631
236	7778.224481
237	4842.014631
238	5487.204641
239	806.9019652
240	865.9049759
241	902.3768241
242	929.5800002
243	959.4206033
244	972.1556082
245	14897.99646
246	12433.28321
247	8965.669491
248	8949.694219
249	8496.433543
250	7818.916213
251	7273.270235
252	6988.503469
253	6855.577146
254	6502.915473
255	6373.304773
256	7239.737234
257	7600.461899
258	6679.773795
259	6742.544559
260	8858.288533
261	6095.244607
262	6846.534539
263	1016.464383
264	1096.416099
265	1146.150438
266	1192.192379
267	1202.214601
268	1189.253531
269	18573.13801
270	14922.33615
271	11277.8641
272	10957.68046
273	9328.579452
274	8281.445561
275	7598.201247
276	6846.68525
277	5116.533109
278	4256.731893
279	5044.342963
280	6997.621432
281	7837.905688
282	6998.902468
283	7014.199544
284	9061.370415
285	5935.039753
286	6565.008041
287	887.9086529
288	958.1395673
289	1007.949261
290	1054.141912
291	1091.744086
292	1122.187529
293	18006.92011
294	14802.29554
295	11774.22787
296	10885.3396
297	5917.029894
298	5213.741134
299	4928.220818
300	4966.049058
301	3886.663201
302	3548.017569
303	4022.377661
304	6198.933168
305	6782.03061
306	6669.299442
307	6724.157925
308	9109.145522
309	6079.19398
310	6606.830099
311	847.3676315
312	932.8202677
313	996.4952921
314	1076.296299
315	1141.101649
316	1200.180015
317	19296.99871
318	16114.00104
319	13143.12786
320	12239.99749
321	8687.232551
322	7204.395712
323	6771.706967
324	6163.440935
325	5123.54113
326	4518.515366
327	4325.380351
328	5893.368406
329	6633.6565
330	6717.97881
331	7551.17969
332	9665.115143
333	6556.1915
334	7164.231466
335	863.1168387
336	961.3798348
337	1015.484767
338	1055.724368
339	1094.456868
340	1123.317855
341	18754.44229
342	15596.61321
343	11852.145
344	10794.91353
345	7105.75594
346	6524.994505
347	6408.11881
348	6003.612856
349	4972.529593
350	4222.897472
351	4782.182715
352	6501.483727
353	7195.353105
354	6524.91915
355	6722.500113
356	9041.32597
357	6036.543017
358	6537.804865
359	697.7878406
360	747.296114
361	758.976148
362	785.4257735
363	829.0563523
364	863.6443241
365	15785.6037
366	13131.07105
367	9554.870693
368	9602.871865
369	9143.356719
370	8624.537142
371	8086.72809
372	7694.655722
373	7520.359472
374	7598.879442
375	7371.005746
376	7453.519535
377	7228.584685
378	5954.406003
379	5637.537983
380	7724.647035
381	4658.072934
382	5053.913056
383	656.5686237
384	701.3295284
385	730.9440663
386	767.0391393
387	798.0854233
388	803.1342122
389	12816.38833
390	11124.29049
391	7762.550629
392	7688.401252
393	7051.726363
394	6279.26166
395	4996.266436
396	4472.624135
397	4408.949111
398	4768.392739
399	5284.273469
400	5636.633722
401	5585.015507
402	4582.49181
403	4416.484617
404	6623.935697
405	3539.653157
406	3861.042481
407	541.5014495
408	615.5754719
409	657.9250147
410	681.7372132
411	703.2887599
412	738.1781519
413	11704.52444
414	10455.66506
415	7094.528037
416	6891.898285
417	5550.427535
418	4601.330575
419	3759.087087
420	3408.309291
421	4322.441504
422	4476.165823
423	4166.381178
424	5193.998109
425	5645.751684
426	4815.263586
427	4902.223323
428	7229.564301
429	4175.725205
430	4690.701674
431	668.0979476
432	736.1435653
433	784.747578
434	823.0279477
435	842.3188426
436	858.2187599
437	13604.15011
438	11670.99144
439	8414.371884
440	7880.782716
441	6246.63292
442	4716.171684
443	3951.317841
444	3676.724009
445	3070.341854
446	2549.864466
447	2827.924631
448	4352.658882
449	5257.371713
450	4603.289806
451	4787.457569
452	7317.202234
453	4382.27342
454	4956.026835
455	583.2481519
456	692.8144068
457	747.5975342
458	751.8927725
459	749.4060556
460	783.6172521
461	14225.2265
462	11971.65813
463	8483.547828
464	8184.689666
465	5519.079831
466	5536.562205
467	5184.654082
468	4902.072613
469	4591.685127
470	4332.840502
471	4541.046528
472	5971.662312
473	5887.189291
474	5397.004636
475	5056.851903
476	7182.844165
477	4238.345259
478	4702.984549
479	640.141221
480	683.4703795
481	720.3190031
482	757.9965323
483	772.9921889
484	800.7228504
485	12967.39987
486	11451.63287
487	8175.044219
488	7508.679437
489	5305.900371
490	4938.695171
491	4542.85505
492	3712.593016
493	3026.48521
494	3913.037472
495	3842.429782
496	4617.833333
