time [h]	EFH_0 [W]
0	117.407652
1	135.4554398
2	145.6113634
3	151.7566675
4	156.6082234
5	4697.017641
6	3954.082719
7	2949.745967
8	2792.038058
9	2570.289611
10	2386.771424
11	2206.616983
12	1886.996483
13	1988.361657
14	2085.134024
15	2163.147043
16	2161.20642
17	2115.019608
18	1957.052949
19	1798.115979
20	2177.766398
21	1747.077611
22	1870.048381
23	99.35986416
24	109.1923507
25	114.6260933
26	117.2782772
27	120.7713974
28	124.5879547
29	4345.506246
30	3274.541461
31	2472.611619
32	2348.347102
33	2181.065456
34	2023.486921
35	1873.218064
36	1517.178551
37	1408.439012
38	1516.014177
39	1704.707357
40	1761.11478
41	1761.438217
42	1651.40493
43	1501.847634
44	1893.335849
45	2006.668194
46	1987.844157
47	76.78395752
48	89.39800278
49	95.86674393
50	98.77767745
51	101.3651739
52	105.1817312
53	3906.731534
54	2828.909882
55	2137.918952
56	2028.597227
57	1708.329852
58	1419.177122
59	1204.156166
60	911.2515666
61	1018.050483
62	1191.283371
63	1410.444322
64	1604.829993
65	1684.977696
66	1634.004016
67	1534.967589
68	1954.724203
69	1523.000418
70	1589.822514
71	86.87519373
72	100.2654879
73	109.5804752
74	115.6610919
75	117.5370268
76	118.3779632
77	4176.025228
78	3083.066722
79	2325.90057
80	2195.037936
81	1690.670189
82	1505.858254
83	1382.822797
84	1472.867674
85	1518.601674
86	1598.814064
87	1702.249235
88	1718.8739
89	1686.983006
90	1557.93162
91	1407.339326
92	1805.10222
93	1923.156746
94	1907.631767
95	74.00239882
96	85.0639462
97	92.43831112
98	96.51361805
99	100.1361131
100	104.21142
101	3788.806382
102	2675.730092
103	1994.506961
104	1931.824859
105	1830.07156
106	1696.233306
107	1621.972157
108	1574.103473
109	1589.305015
110	1646.229937
111	1705.224856
112	1680.12614
113	1595.773756
114	1442.788027
115	1283.204183
116	1685.948007
117	1235.529561
118	1252.218913
119	57.89523335
120	69.86240448
121	74.64927294
122	78.59520505
123	82.47644974
124	84.74050914
125	3294.78862
126	2324.089323
127	1743.066992
128	1649.205558
129	1247.173295
130	794.2967265
131	782.9117421
132	809.9510801
133	781.6826813
134	894.6269019
135	1126.272523
136	1363.416573
137	1367.297818
138	1344.2691
139	1219.357708
140	1668.094282
141	1250.860477
142	1303.451343
143	67.01615838
144	79.4361414
145	88.49237901
146	96.83705511
147	102.012048
148	104.9229816
149	3781.496705
150	2726.445022
151	2137.013328
152	1980.340418
153	1188.82525
154	783.8820533
155	702.3112273
156	782.6529925
157	730.1268143
158	851.8038354
159	1079.180087
160	1309.855397
161	1363.545948
162	1311.01977
163	1260.434214
164	1709.170788
165	1280.940124
166	1348.150344
167	72.77333801
168	86.1636322
169	95.15518241
170	103.1764214
171	110.4214115
172	115.7904667
173	4040.828538
174	2980.860612
175	2289.934369
176	2224.923521
177	2087.204021
178	1901.357088
179	1440.006469
180	874.3150546
181	797.5310971
182	846.240718
183	1159.263103
184	1556.379122
185	1673.39865
186	1629.41121
187	1578.955029
188	2025.556918
189	1609.940299
190	1706.259855
191	95.15518241
192	105.1817312
193	112.6854709
194	117.5370268
195	121.0948344
196	124.329205
197	4240.971389
198	3171.300352
199	2378.87956
200	2229.451639
201	1745.783863
202	1562.524426
203	1367.168443
204	1042.178888
205	1122.455965
206	1318.588197
207	1571.645351
208	1723.531394
209	1760.85603
210	1661.625541
211	1550.621943
212	1994.118836
213	1582.706899
214	1685.753945
215	93.53799712
216	105.6345431
217	113.2676576
218	119.930461
219	126.20514
220	131.2507581
221	4394.992116
222	3373.319138
223	2553.406197
224	2447.383529
225	2051.173133
226	1517.890112
227	1473.255798
228	1667.706157
229	1743.066992
230	1795.916607
231	1895.858658
232	1948.837648
233	1936.029541
234	1818.880638
235	1679.738016
236	2086.945272
237	1677.991456
238	1773.405388
239	97.16049216
240	108.8042262
241	116.4373408
242	121.9357708
243	127.3695134
244	130.3451343
245	4393.051494
246	3365.168524
247	2535.164346
248	2428.753554
249	2290.775306
250	2110.620864
251	1960.740132
252	1871.277442
253	1826.707815
254	1726.701077
255	1823.667507
256	2010.614126
257	2085.716211
258	1997.417894
259	1899.093029
260	2340.067113
261	1946.185464
262	2059.453122
263	118.7014002
264	133.2560678
265	142.9591795
266	151.1097934
267	155.3791626
268	168.963519
269	4725.28604
270	4100.535019
271	3076.209857
272	2897.93135
273	2462.391008
274	2123.23491
275	1892.947724
276	1648.235247
277	1092.441006
278	988.5530235
279	1388.062477
280	1944.180154
281	2108.033368
282	2017.535679
283	1901.680525
284	2317.944018
285	1875.288061
286	1963.198253
287	109.5157878
288	121.8710834
289	130.7979462
290	138.4957482
291	144.7057397
292	150.3982319
293	4657.55832
294	3978.987372
295	3135.334151
296	2899.742598
297	1750.829481
298	1137.398757
299	966.6886784
300	928.1996685
301	780.5183079
302	804.582025
303	1152.988424
304	1743.778553
305	1908.666765
306	1919.534251
307	1837.057801
308	2296.209048
309	1895.276471
310	1994.183524
311	121.030147
312	133.3207552
313	142.8298047
314	153.567915
315	165.9232107
316	237.1440508
317	4736.218212
318	4346.217808
319	3450.23247
320	3207.137178
321	2243.94162
322	1484.899532
323	1269.555139
324	1124.525963
325	968.3058636
326	922.5718637
327	1146.260933
328	1671.069903
329	1911.513012
330	1975.359487
331	1990.819778
332	2386.447987
333	1971.672304
334	2089.338706
335	126.20514
336	139.7894964
337	148.0047976
338	153.6972899
339	161.9125911
340	217.2850154
341	4685.438594
342	4162.246809
343	3150.988505
344	2886.028867
345	1808.724715
346	1311.666644
347	1177.440265
348	1081.056022
349	926.0002965
350	846.3054054
351	1125.690336
352	1652.828053
353	1885.896797
354	1859.698395
355	1793.58786
356	2227.316955
357	1836.410927
358	1947.737962
359	115.3376548
360	121.7417086
361	124.5232673
362	127.4988882
363	131.9623196
364	136.0376265
365	4401.848982
366	3482.834926
367	2619.904856
368	2530.118728
369	2392.399229
370	2245.68818
371	2098.653693
372	1987.973532
373	1943.727343
374	1970.572618
375	2030.02035
376	2042.440333
377	1993.730712
378	1821.856259
379	1637.885261
380	2044.769079
381	1618.543725
382	1657.162109
383	83.83488538
384	93.40862229
385	99.81267604
386	106.2814172
387	111.7798472
388	113.7204695
389	4043.157285
390	2960.16064
391	2233.785696
392	2126.081156
393	1966.626686
394	1756.392599
395	1352.613776
396	1177.31089
397	1182.679946
398	1326.803499
399	1594.221258
400	1674.821773
401	1663.824913
402	1539.172271
403	1397.506839
404	1813.640958
405	1370.661564
406	1407.921513
407	72.64396318
408	86.09894479
409	93.92612159
410	98.64830263
411	102.8529844
412	108.4161018
413	3888.101559
414	2811.379594
415	2106.868995
416	1986.356347
417	1645.453688
418	1323.051629
419	940.7490263
420	838.6076035
421	1224.338639
422	1289.349487
423	1363.093136
424	1608.840613
425	1702.702047
426	1620.937159
427	1526.364163
428	1970.378556
429	1549.069445
430	1627.276525
431	90.56237618
432	102.2707977
433	110.6154738
434	117.0195275
435	120.9654596
436	124.1351428
437	4260.248238
438	3214.705605
439	2458.186327
440	2274.538765
441	1833.952805
442	1235.917685
443	836.1494818
444	787.1164239
445	663.0459685
446	604.3744862
447	803.1589019
448	1320.399445
449	1586.264706
450	1552.109753
451	1477.395793
452	1934.088918
453	1556.508497
454	1688.923628
455	99.42455157
456	113.5264073
457	120.9654596
458	122.5179575
459	123.0354568
460	126.9813889
461	4303.265367
462	3273.571149
463	2466.078191
464	2301.254666
465	1841.909357
466	1821.920947
467	1700.114551
468	1342.716602
469	1426.680862
470	1369.885315
471	1587.105643
472	1791.647238
473	1771.206016
474	1701.796423
475	1538.848834
476	1947.673275
477	1542.471329
478	1604.571244
479	85.90488255
480	95.34924464
481	102.5295473
482	108.7395388
483	111.909222
484	116.4373408
485	4116.25406
486	3078.862041
487	2378.556123
488	2127.116154
489	1496.090455
490	1336.377235
491	1171.424336
492	890.6162824
493	669.5147096
494	1036.745145
495	1356.236271
496	1578.696279
497	1631.934019
498	1589.434389
499	1508.575125
500	1923.092058
501	1527.787286
502	1619.708098
503	89.46269019
504	100.7182998
505	107.3164158
506	113.4617199
507	120.1245233
508	124.1351428
509	4221.823915
510	3127.959786
511	2363.483956
512	2314.192149
513	2192.45044
514	2020.77005
515	1894.500222
516	1818.557201
517	1808.207215
518	1847.601849
519	1789.577241
520	1862.544641
521	1893.077099
522	1809.565651
523	1681.872701
524	2072.390604
525	1635.944638
526	1702.184548
527	91.14456289
528	101.8826732
529	109.1276633
530	115.8551541
531	121.2888967
532	124.9760791
533	4331.145641
534	3333.148255
535	2596.164576
536	2520.027492
537	2290.969368
538	1865.455575
539	1580.960339
540	1010.352681
541	850.9628991
542	808.1398326
