time [h]	EFH_11 [W]
0	311.30
1	356.80
2	505.50
3	723.50
4	906.40
5	7524.10
6	7665.70
7	7061.00
8	6663.60
9	6027.10
10	5651.70
11	5304.30
12	4735.60
13	4809.60
14	4892.50
15	5025.80
16	4998.60
17	4906.80
18	4591.10
19	4276.50
20	4704.40
21	4138.20
22	4545.20
23	275.90
24	285.50
25	288.60
26	282.40
27	283.40
28	314.40
29	7390.60
30	6877.30
31	5413.90
32	5152.60
33	4733.50
34	4440.30
35	4218.50
36	3546.70
37	3264.50
38	3384.20
39	3610.60
40	3697.10
41	3742.60
42	3615.20
43	3359.40
44	3831.10
45	5226.10
46	5327.50
47	188.40
48	212.40
49	225.20
50	227.40
51	228.00
52	235.70
53	6968.70
54	5611.10
55	4449.60
56	4343.40
57	3728.30
58	3203.30
59	2825.90
60	2277.70
61	2477.00
62	2709.80
63	3048.10
64	3414.20
65	3645.60
66	3672.20
67	3568.50
68	4146.60
69	3554.20
70	3748.90
71	236.40
72	256.70
73	274.70
74	286.70
75	284.10
76	278.70
77	7301.90
78	6435.80
79	5061.10
80	4813.90
81	3860.80
82	3566.80
83	3329.30
84	3302.40
85	3347.00
86	3533.60
87	3707.00
88	3703.90
89	3634.90
90	3445.00
91	3187.40
92	3689.50
93	4688.00
94	4829.00
95	191.60
96	208.10
97	220.50
98	223.80
99	227.80
100	235.40
101	6760.40
102	5213.90
103	4062.30
104	4092.80
105	3887.30
106	3680.10
107	3653.20
108	3607.00
109	3630.30
110	3670.10
111	3718.80
112	3622.90
113	3403.40
114	3142.40
115	2847.30
116	3373.60
117	2679.40
118	2765.60
119	157.30
120	167.20
121	169.60
122	175.30
123	183.50
124	184.50
125	5897.30
126	4290.60
127	3325.90
128	3318.80
129	2670.40
130	1977.00
131	2022.50
132	1933.20
133	1941.90
134	2167.90
135	2568.00
136	2943.10
137	2980.70
138	2984.70
139	2775.20
140	3383.90
141	2754.00
142	2952.80
143	180.30
144	194.70
145	210.50
146	228.80
147	239.20
148	245.00
149	6747.80
150	5334.50
151	4396.90
152	4202.80
153	2860.20
154	1918.00
155	1627.90
156	1886.80
157	1825.40
158	2145.00
159	2667.80
160	2982.10
161	3100.10
162	3026.70
163	2960.30
164	3590.20
165	2943.30
166	3154.50
167	198.60
168	218.90
169	235.80
170	253.40
171	269.80
172	280.90
173	7245.10
174	6302.60
175	5167.50
176	5102.40
177	4786.60
178	4469.60
179	3727.60
180	2422.80
181	2324.00
182	2371.70
183	3086.70
184	3685.40
185	3858.80
186	3875.90
187	3963.30
188	4644.30
189	4147.50
190	4350.70
191	275.30
192	284.80
193	296.40
194	302.30
195	305.80
196	342.70
197	7412.50
198	6864.20
199	5398.40
200	5072.10
201	4212.30
202	3856.70
203	3499.90
204	2827.70
205	2911.50
206	3273.90
207	3694.60
208	3898.30
209	3982.80
210	3883.40
211	3739.20
212	4371.20
213	3814.30
214	4080.80
215	259.50
216	276.20
217	288.10
218	302.50
219	315.60
220	427.90
221	7452.90
222	7222.20
223	5774.00
224	5533.40
225	4809.10
226	3826.50
227	3652.70
228	3968.50
229	4074.20
230	4080.40
231	4244.20
232	4373.50
233	4375.50
234	4204.00
235	3992.40
236	4515.40
237	3994.10
238	4234.60
239	264.50
240	281.20
241	293.20
242	301.80
243	319.40
244	417.20
245	7440.70
246	7194.10
247	5706.90
248	5478.10
249	5224.70
250	4831.50
251	4515.90
252	4344.90
253	4236.00
254	4114.90
255	4292.80
256	4628.70
257	4828.20
258	4696.00
259	4588.50
260	5283.60
261	4878.90
262	5072.60
263	337.20
264	364.80
265	408.80
266	628.20
267	840.30
268	1000.10
269	7531.50
270	7681.70
271	7196.80
272	7011.10
273	6074.30
274	5409.20
275	4974.20
276	4433.00
277	3250.50
278	2947.90
279	3919.40
280	4802.50
281	5128.10
282	5036.90
283	4859.60
284	5374.70
285	4763.30
286	4871.70
287	312.40
288	331.50
289	347.10
290	429.50
291	611.80
292	801.90
293	7515.40
294	7690.60
295	7316.00
296	7162.10
297	5172.70
298	3699.80
299	2846.30
300	2381.00
301	2302.20
302	2745.30
303	3780.90
304	4739.80
305	4963.40
306	4989.80
307	4965.70
308	5617.80
309	5130.60
310	5233.60
311	352.30
312	372.10
313	401.50
314	651.10
315	1003.90
316	1346.50
317	7583.90
318	7693.90
319	7441.20
320	7559.50
321	6919.40
322	5064.20
323	3869.10
324	3071.10
325	2749.90
326	3067.60
327	4076.20
328	4931.40
329	5228.10
330	5457.70
331	5612.70
332	6002.10
333	5494.40
334	5602.50
335	367.10
336	394.90
337	471.70
338	678.80
339	967.90
340	1189.50
341	7558.50
342	7693.90
343	7361.80
344	7250.60
345	5384.50
346	3810.30
347	3020.60
348	2576.50
349	2288.10
350	2572.50
351	3795.20
352	4768.40
353	5036.90
354	4988.60
355	4919.30
356	5473.60
357	5038.40
358	5168.30
359	328.40
360	329.60
361	326.00
362	324.20
363	368.20
364	495.50
365	7462.90
366	7436.70
367	6194.60
368	5924.20
369	5659.90
370	5428.30
371	5113.40
372	4857.80
373	4694.90
374	4632.40
375	4652.50
376	4632.60
377	4521.40
378	4147.70
379	3750.20
380	4330.40
381	3757.30
382	3816.70
383	212.40
384	223.30
385	231.80
386	248.80
387	264.70
388	264.20
