time [h]	EFH_8 [W]
223	5743.10
224	5551.40
225	4809.10
226	3829.10
227	3664.10
228	3996.00
229	4110.20
230	4113.30
231	4275.00
232	4411.10
233	4430.60
234	4221.10
235	4010.20
236	4510.60
237	3907.30
238	4139.30
239	262.00
240	279.80
241	292.20
242	301.00
243	320.40
244	420.00
245	7420.30
246	6994.50
247	5676.20
248	5490.70
249	5235.90
250	4845.40
251	4535.30
252	4375.70
253	4272.90
254	4143.60
255	4302.40
256	4660.40
257	4883.20
258	4714.40
259	4608.60
260	5280.30
261	4788.00
262	4980.30
263	335.10
264	363.60
265	411.90
266	629.80
267	744.90
268	848.80
269	7531.10
270	7686.40
271	7202.20
272	7015.80
273	6072.00
274	5415.70
275	4985.20
276	4453.40
277	3269.40
278	2958.20
279	3877.10
280	4817.00
281	5176.00
282	5048.10
283	4872.80
284	5365.90
285	4667.60
286	4774.70
287	310.30
288	330.30
289	346.30
290	433.70
291	610.90
292	713.10
293	7515.10
294	7688.50
295	7228.00
296	7175.50
297	4994.60
298	3550.30
299	2726.80
300	2294.80
301	2195.70
302	2584.10
303	3603.10
304	4753.80
305	5028.20
306	5089.40
307	4986.70
308	5603.60
309	5020.90
310	5133.20
311	350.40
312	371.10
313	403.90
314	653.50
315	887.90
316	1186.20
317	7583.60
318	7693.90
319	7424.80
320	7552.80
321	6824.90
322	5098.10
323	3913.70
324	3051.20
325	2778.00
326	3081.50
327	3876.70
328	4782.90
329	5114.70
330	5376.70
331	5607.20
332	5982.40
333	5388.10
334	5499.50
335	365.20
336	393.80
337	476.20
338	674.50
339	861.40
340	1033.50
341	7558.20
342	7693.90
343	7324.80
344	7260.00
345	5343.90
346	3801.60
347	3025.20
348	2608.00
349	2322.00
350	2558.20
351	3736.20
352	4773.90
353	5078.90
354	4996.10
355	4929.40
356	5461.30
357	4938.90
358	5068.70
359	326.40
360	328.50
361	325.30
362	323.60
363	371.30
364	497.60
365	7457.70
366	7237.70
367	6148.70
368	5923.30
369	5665.70
370	5435.80
371	5126.70
372	4882.70
373	4726.90
374	4661.30
375	4679.60
376	4666.90
377	4573.20
378	4161.70
379	3765.90
380	4322.70
381	3668.60
382	3716.20
383	209.60
384	221.70
385	230.70
386	247.90
387	264.00
388	263.50
389	6990.30
390	5895.30
391	4746.10
392	4576.70
393	4206.50
394	3842.30
395	3194.00
396	2943.20
397	2991.70
398	3235.90
399	3586.80
400	3651.30
401	3672.50
402	3448.90
403	3225.50
404	3797.40
405	3048.30
406	3128.70
407	193.70
408	217.70
409	232.80
410	238.70
411	246.00
412	262.30
413	6964.80
414	5822.00
415	4640.60
416	4501.30
417	3863.30
418	3320.90
419	2703.50
420	2436.20
421	3199.60
422	3297.10
423	3328.20
424	3740.70
425	3986.30
426	3860.50
427	3776.10
428	4438.30
429	3802.10
430	3935.20
431	252.50
432	267.10
433	280.50
434	292.10
435	297.50
436	313.00
437	7337.10
438	6666.60
439	5474.10
440	5170.00
441	4341.30
442	3282.50
443	1926.80
444	2077.30
445	1587.90
446	1563.80
447	2509.20
448	3680.90
449	4012.10
450	3918.70
451	3808.90
452	4399.60
453	3891.10
454	4200.80
455	286.10
456	312.30
457	322.80
458	318.80
459	313.70
460	411.10
461	7397.60
462	6799.80
463	5507.80
464	5309.60
465	4354.30
466	4360.20
467	4135.20
468	3425.90
469	3477.50
470	3317.00
471	3632.80
472	4132.10
473	4150.50
474	4078.10
475	3753.70
476	4215.20
477	3625.60
478	3803.10
479	235.30
480	245.30
481	259.10
482	271.80
483	273.60
484	284.30
485	7253.20
486	6483.90
487	5302.30
488	4937.40
489	3915.20
490	3605.70
491	3310.30
492	2458.30
493	1935.80
494	3073.80
495	3465.60
496	3680.60
497	3779.00
498	3741.20
499	3651.20
500	4167.40
501	3589.30
502	3787.00
503	242.00
