Time [h]	ConstructionInstance(id=2).FluxShortWaveRadiationA [W]	ConstructionInstance(id=11).FluxShortWaveRadiationA [W]	ConstructionInstance(id=2).FluxShortWaveRadiationB [W]	ConstructionInstance(id=11).FluxShortWaveRadiationB [W]	ConstructionInstance(id=2).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=2).SolarRadiationFluxB [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxB [W/m2]
3881	92.7713	15.4619	259.76	43.2933	0	0	43.2933	43.2933
3881.5	72.9753	12.1625	204.331	34.0551	0	0	34.0551	34.0551
3882	68.0192	11.3365	190.454	31.7423	0	0	31.7423	31.7423
3882.5	62.9946	10.4991	176.385	29.3975	0	0	29.3975	29.3975
3883	45.3062	7.55103	126.857	21.1429	0	0	21.1429	21.1429
3883.5	27.7714	4.62857	77.76	12.96	0	0	12.96	12.96
3884	13.8857	2.31429	38.88	6.48	0	0	6.48	6.48
3884.5	0	0	0	0	0	0	0	0
3885	0	0	0	0	0	0	0	0
3885.5	0	0	0	0	0	0	0	0
3886	0	0	0	0	0	0	0	0
3886.5	0	0	0	0	0	0	0	0
3887	0	0	0	0	0	0	0	0
3887.5	0	0	0	0	0	0	0	0
3888	0	0	0	0	0	0	0	0
3888.5	0	0	0	0	0	0	0	0
3889	0	0	0	0	0	0	0	0
3889.5	0	0	0	0	0	0	0	0
3890	0	0	0	0	0	0	0	0
3890.5	0	0	0	0	0	0	0	0
3891	0	0	0	0	0	0	0	0
3891.5	0	0	0	0	0	0	0	0
3892	19.2857	3.21429	54	9	0	0	9	9
3892.5	38.5714	6.42857	108	18	0	0	18	18
3893	45.9881	7.66469	128.767	21.4611	0	0	21.4611	21.4611
3893.5	53.4996	8.9166	149.799	24.9665	0	0	24.9665	24.9665
3894	91.0157	15.1693	254.844	42.474	0	0	42.474	42.474
3894.5	130.167	21.6945	364.467	60.7446	0	0	60.7446	60.7446
3895	182.075	30.3458	509.81	84.9683	0	0	84.9683	84.9683
3895.5	234.235	39.0392	655.858	109.31	0	0	109.31	109.31
3896	280.58	46.7633	785.624	130.937	0	0	130.937	130.937
3896.5	324.048	54.0079	907.333	151.222	0	0	151.222	151.222
3897	245.435	40.9059	687.219	114.536	0	0	114.536	114.536
3897.5	156.868	26.1446	439.229	73.2049	0	0	73.2049	73.2049
3898	154.771	25.7952	433.359	72.2265	0	0	72.2265	72.2265
3898.5	152.163	25.3605	426.056	71.0094	0	0	71.0094	71.0094
3899	166.022	27.6703	464.861	77.4769	0	0	77.4769	77.4769
3899.5	180.169	30.0282	504.474	84.079	0	0	84.079	84.079
3900	150.544	25.0906	421.522	70.2537	0	0	70.2537	70.2537
3900.5	120.685	20.1141	337.917	56.3195	0	0	56.3195	56.3195
3901	179.427	29.9045	502.395	83.7325	0	0	83.7325	83.7325
3901.5	237.94	39.6566	666.232	111.039	0	0	111.039	111.039
3902	186.277	31.0462	521.577	86.9295	0	0	86.9295	86.9295
3902.5	134.602	22.4337	376.886	62.8144	0	0	62.8144	62.8144
3903	171.835	28.6392	481.139	80.1898	0	0	80.1898	80.1898
3903.5	200.244	33.374	560.684	93.4473	0	0	93.4473	93.4473
3904	235.361	39.2268	659.011	109.835	0	0	109.835	109.835
3904.5	228.101	38.0169	638.684	106.447	0	0	106.447	106.447
3905	150.822	25.137	422.301	70.3835	0	0	70.3835	70.3835
3905.5	99.3313	16.5552	278.128	46.3546	0	0	46.3546	46.3546
3906	82.3393	13.7232	230.55	38.425	0	0	38.425	38.425
3906.5	66.4065	11.0678	185.938	30.9897	0	0	30.9897	30.9897
3907	44.9091	7.48485	125.745	20.9576	0	0	20.9576	20.9576
3907.5	27.0126	4.50211	75.6354	12.6059	0	0	12.6059	12.6059
3908	12.4562	2.07603	34.8773	5.81289	0	0	5.81289	5.81289
3908.5	0	0	0	0	0	0	0	0
3909	0	0	0	0	0	0	0	0
3909.5	0	0	0	0	0	0	0	0
3910	0	0	0	0	0	0	0	0
3910.5	0	0	0	0	0	0	0	0
3911	0	0	0	0	0	0	0	0
3911.5	0	0	0	0	0	0	0	0
3912	0	0	0	0	0	0	0	0
3912.5	0	0	0	0	0	0	0	0
3913	0	0	0	0	0	0	0	0
3913.5	0	0	0	0	0	0	0	0
3914	0	0	0	0	0	0	0	0
3914.5	0	0	0	0	0	0	0	0
3915	0	0	0	0	0	0	0	0
3915.5	0	0	0	0	0	0	0	0
3916	13.8857	2.31429	38.88	6.48	0	0	6.48	6.48
3916.5	27.9428	4.65714	78.2399	13.04	0	0	13.04	13.04
3917	41.7707	6.96178	116.958	19.493	0	0	19.493	19.493
3917.5	58.6572	9.7762	164.24	27.3734	0	0	27.3734	27.3734
3918	73.9572	12.3262	207.08	34.5134	0	0	34.5134	34.5134
3918.5	91.7324	15.2887	256.851	42.8084	0	0	42.8084	42.8084
3919	109.588	18.2646	306.845	51.1408	0	0	51.1408	51.1408
3919.5	131.266	21.8777	367.546	61.2576	0	0	61.2576	61.2576
3920	221.972	36.9953	621.52	103.587	0	0	103.587	103.587
3920.5	314.596	52.4327	880.869	146.812	0	0	146.812	146.812
3921	408.09	68.015	1142.65	190.442	0	0	190.442	190.442
3921.5	494.734	82.4557	1385.26	230.876	0	0	230.876	230.876
3922	489.324	81.5539	1370.11	228.351	0	0	228.351	228.351
3922.5	445.146	74.1911	1246.41	207.735	0	0	207.735	207.735
3923	352.999	58.8332	988.398	164.733	0	0	164.733	164.733
3923.5	249.073	41.5122	697.405	116.234	0	0	116.234	116.234
3924	299.784	49.964	839.396	139.899	0	0	139.899	139.899
3924.5	348.715	58.1191	976.401	162.733	0	0	162.733	162.733
3925	305.503	50.9172	855.409	142.568	0	0	142.568	142.568
3925.5	262.928	43.8213	736.198	122.7	0	0	122.7	122.7
3926	389.588	64.9314	1090.85	181.808	0	0	181.808	181.808
3926.5	478.14	79.6899	1338.79	223.132	0	0	223.132	223.132
3927	409.096	68.1827	1145.47	190.912	0	0	190.912	190.912
3927.5	335.205	55.8675	938.575	156.429	0	0	156.429	156.429
3928	253.719	42.2865	710.413	118.402	0	0	118.402	118.402
3928.5	166.886	27.8143	467.28	77.88	0	0	77.88	77.88
3929	111.255	18.5425	311.514	51.919	0	0	51.919	51.919
3929.5	91.5955	15.2659	256.467	42.7446	0	0	42.7446	42.7446
3930	82.7392	13.7899	231.67	38.6116	0	0	38.6116	38.6116
3930.5	72.0366	12.0061	201.703	33.6171	0	0	33.6171	33.6171
3931	51.1111	8.51851	143.111	23.8518	0	0	23.8518	23.8518
3931.5	30.2094	5.03489	84.5862	14.0977	0	0	14.0977	14.0977
3932	13.3818	2.2303	37.4691	6.24485	0	0	6.24485	6.24485
3932.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3933	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3933.5	0	0	0	0	0	0	0	0
3934	0	0	0	0	0	0	0	0
3934.5	0	0	0	0	0	0	0	0
3935	0	0	0	0	0	0	0	0
3935.5	0	0	0	0	0	0	0	0
3936	0	0	0	0	0	0	0	0
3936.5	0	0	0	0	0	0	0	0
3937	0	0	0	0	0	0	0	0
3937.5	0	0	0	0	0	0	0	0
3938	0	0	0	0	0	0	0	0
3938.5	0	0	0	0	0	0	0	0
3939	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
3939.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
3940	15.0503	2.50839	42.1409	7.02349	0	0	7.02349	7.02349
3940.5	28.8746	4.81244	80.849	13.4748	0	0	13.4748	13.4748
3941	50.7867	8.46445	142.203	23.7005	0	0	23.7005	23.7005
3941.5	74.3087	12.3848	208.064	34.6774	0	0	34.6774	34.6774
