Time [h]	ConstructionInstance(id=2).SurfaceTemperatureA [C]	ConstructionInstance(id=11).SurfaceTemperatureA [C]	ConstructionInstance(id=2).SurfaceTemperatureB [C]	ConstructionInstance(id=11).SurfaceTemperatureB [C]
3897.5	73.292	73.292	19.9594	19.9594
3898	71.1438	71.1438	19.5959	19.5959
3898.5	69.5129	69.5129	19.487	19.487
3899	68.7578	68.7578	19.5996	19.5996
3899.5	69.1031	69.1031	19.8428	19.8428
3900	68.5945	68.5945	19.7996	19.7996
3900.5	66.2373	66.2373	19.5006	19.5006
3901	65.9066	65.9066	19.7865	19.7865
3901.5	69.4943	69.4943	20.5415	20.5415
3902	71.7707	71.7707	20.6405	20.6405
3902.5	70.1151	70.1151	20.187	20.187
3903	69.0077	69.0077	20.1859	20.1859
3903.5	70.3643	70.3643	20.6328	20.6328
3904	73.7715	73.7715	21.3847	21.3847
3904.5	77.1454	77.1454	21.8949	21.8949
3905	76.0138	76.0138	21.5727	21.5727
3905.5	71.6514	71.6514	21.1055	21.1055
3906	66.3782	66.3782	20.7918	20.7918
3906.5	61.1967	61.1967	20.3836	20.3836
3907	55.734	55.734	19.8167	19.8167
3907.5	50.0499	50.0499	19.1952	19.1952
3908	44.4257	44.4257	18.5616	18.5616
3908.5	39.0211	39.0211	17.9633	17.9633
3909	34.3382	34.3382	17.4797	17.4797
3909.5	30.5418	30.5418	17.0809	17.0809
3910	27.4333	27.4333	16.7227	16.7227
3910.5	24.8945	24.8945	16.4338	16.4338
3911	22.8273	22.8273	16.1904	16.1904
3911.5	21.1186	21.1186	15.9364	15.9364
3912	19.6856	19.6856	15.6733	15.6733
3912.5	18.482	18.482	15.4214	15.4214
3913	17.4676	17.4676	15.1772	15.1772
3913.5	16.5695	16.5695	14.8665	14.8665
3914	15.7415	15.7415	14.5079	14.5079
3914.5	15.0007	15.0007	14.1793	14.1793
3915	14.3492	14.3492	13.8715	13.8715
3915.5	13.7892	13.7892	13.6124	13.6124
3916	13.8554	13.8554	13.4996	13.4996
3916.5	14.8065	14.8065	13.5159	13.5159
3917	16.4095	16.4095	13.6036	13.6036
3917.5	18.7093	18.7093	13.8467	13.8467
3918	21.6156	21.6156	14.1908	14.1908
3918.5	25.0977	25.0977	14.7034	14.7034
3919	29.1512	29.1512	15.3451	15.3451
3919.5	33.7201	33.7201	16.1388	16.1388
3920	41.7182	41.7182	17.6608	17.6608
3920.5	54.164	54.164	19.6197	19.6197
3921	70.1324	70.1324	21.8519	21.8519
3921.5	88.6155	88.6155	24.1902	24.1902
3922	105.554	105.554	25.9055	25.9055
3922.5	117.122	117.122	26.7564	26.7564
3923	121.667	121.667	26.7203	26.7203
3923.5	119.087	119.087	26.0032	26.0032
3924	116.58	116.58	26.1124	26.1124
3924.5	117.941	117.941	26.5151	26.5151
3925	118.333	118.333	26.2044	26.2044
3925.5	115.731	115.731	25.7174	25.7174
3926	117.799	117.799	26.6015	26.6015
3926.5	126.404	126.404	28.2154	28.2154
3927	132.576	132.576	28.8511	28.8511
3927.5	132.81	132.81	28.7602	28.7602
3928	128.198	128.198	28.2544	28.2544
3928.5	119.295	119.295	27.335	27.335
3929	107.449	107.449	26.3008	26.3008
3929.5	96.5641	96.5641	25.6336	25.6336
3930	87.1152	87.1152	25.1517	25.1517
3930.5	78.9293	78.9293	24.7476	24.7476
3931	71.2615	71.2615	24.2883	24.2883
3931.5	63.7127	63.7127	23.7057	23.7057
3932	56.3768	56.3768	23.0661	23.0661
3932.5	49.5719	49.5719	22.4207	22.4207
3933	43.7234	43.7234	21.8402	21.8402
3933.5	38.9037	38.9037	21.394	21.394
3934	34.9649	34.9649	21.035	21.035
3934.5	31.772	31.772	20.7531	20.7531
3935	29.1849	29.1849	20.5195	20.5195
3935.5	27.0609	27.0609	20.2716	20.2716
3936	25.2944	25.2944	20.013	20.013
