View3D 4.0.0 0 0 0 6          
5.4 6.6 3.96 6.6 3.96 5.4
0.000000 0.248193 0.147504 0.248193 0.147504 0.208617
0.203067 0.000000 0.146476 0.300914 0.146476 0.203067
0.201142 0.244127 0.000000 0.244127 0.109477 0.201142
0.203067 0.300914 0.146476 0.000000 0.146476 0.203067
0.201142 0.244127 0.109477 0.244127 0.000000 0.201142
0.208617 0.248193 0.147504 0.248193 0.147504 0.000000
0.001 0.001 0.001 0.001 0.001 0.001
