                    Time	   NJacEvals	    NRhsEvals
          3601.3001234179	          104          416
          7212.7011531886	          475         1900
         10801.8105609938	          689         2756
         14404.9263104101	          948         3792
         18003.5045529213	         1196         4784
         21604.4341482049	         1444         5776
         25207.5767209853	         1676         6704
         28804.4646102238	         1944         7776
         32413.5587577510	         2199         8796
         36003.6190846522	         2441         9764
         39605.9085578885	         2652        10608
         43209.0112651453	         2864        11456
         46803.8316936591	         3110        12440
         50402.5284638757	         3335        13340
         54009.0656516116	         3585        14340
         57603.5458838970	         3821        15284
         61201.4280926405	         4031        16124
         64804.1391078066	         4237        16948
         68405.0843413335	         4503        18012
         72010.2091877405	         4761        19044
         75608.5694069801	         5000        20000
         79204.0932349483	         5238        20952
         82802.5586472553	         5502        22008
         86400.4101859537	         5769        23076
