                    Time	   NJacEvals	    NRhsEvals
          3623.7962523400	           60          300
          7203.9771232490	          158          790
         10820.5209359116	          261         1305
         14402.8196917208	          362         1810
         18005.1560558268	          444         2220
         21661.8056051149	          525         2625
         25203.4247198665	          620         3100
         28825.3052727928	          726         3630
         32410.1788875590	          831         4155
         36045.2941150847	          937         4685
         39629.1447842886	         1042         5210
         43213.0199185987	         1147         5735
         46848.0998154155	         1254         6270
         50431.9827487454	         1359         6795
         54015.8669871119	         1464         7320
         57650.9511450267	         1570         7850
         61234.8385712655	         1675         8375
         64818.7276783273	         1780         8900
         68402.6185224472	         1885         9425
         72037.7096375568	         1992         9960
         75621.6041450577	         2097        10485
         79205.5005524090	         2202        11010
         82840.5974683658	         2308        11540
         86424.4978492450	         2413        12065
         90008.4002745562	         2518        12590
         93643.5034406121	         2625        13125
         97227.4101172268	         2730        13650
        100811.3189637576	         2835        14175
        104446.4287663569	         2941        14705
        108030.3420997908	         3046        15230
        111614.2577110433	         3151        15755
        115249.3744789276	         3258        16290
        118833.2947725276	         3363        16815
        122417.2174292221	         3468        17340
        126001.1424745418	         3573        17865
        129636.2689092486	         3679        18395
        133220.1988252972	         3784        18920
        136804.1311825941	         3889        19445
        140439.2650852124	         3996        19980
        144023.2024050251	         4101        20505
        147607.1422028987	         4206        21030
        151242.2836753514	         4312        21560
        154826.2284793500	         4417        22085
        158410.1757711594	         4522        22610
        162045.3248567819	         4629        23145
        165629.2771630187	         4734        23670
