Time [h]	Azimuth [Deg]	Altitude [Deg]	3 [---]
3581.333333	68.4673	10.2633	1
3581.500000	70.2714	11.7678	1
3581.666667	72.0705	13.2894	1
3581.833333	73.867	14.8265	1
3582.000000	75.6634	16.3776	1
3582.166667	77.4624	17.9412	1
3582.333333	79.2668	19.5157	1
3582.500000	81.0796	21.0997	1
3582.666667	82.9039	22.6916	1
3582.833333	84.743	24.2898	1
3583.000000	86.6005	25.8927	1
3583.166667	88.48	27.4988	0.99
3583.333333	90.3857	29.1062	0.975
3583.500000	92.3217	30.7133	0.955
3583.666667	94.2928	32.3182	0.935
3583.833333	96.3037	33.9188	0.915
3584.000000	98.36	35.5132	0.895
3584.166667	100.467	37.0991	0.87
3584.333333	102.632	38.6742	0.845
3584.500000	104.86	40.2357	0.815
3584.666667	107.16	41.7809	0.785
3584.833333	109.538	43.3068	0.755
3585.000000	112.003	44.81	0.72
3585.166667	114.565	46.2868	0.68
3585.333333	117.232	47.733	0.635
3585.500000	120.014	49.1443	0.59
3585.666667	122.922	50.5157	0.535
3585.833333	125.966	51.8418	0.47
3586.000000	129.155	53.1165	0.4
3586.166667	132.501	54.3333	0.315
3586.333333	136.011	55.4852	0.211775
3586.500000	139.693	56.5645	0.08235
3586.666667	143.552	57.5632	0
3586.833333	147.589	58.4728	0
3587.000000	151.801	59.2848	0
3587.166667	156.181	59.9906	0
3587.333333	160.714	60.582	0
3587.500000	165.381	61.0517	0
3587.666667	170.156	61.3933	0
3587.833333	175.005	61.602	0
3588.000000	179.894	61.6746	0
3588.166667	184.784	61.61	0
3588.333333	189.637	61.4093	0
3588.500000	194.416	61.0755	0
3588.666667	199.09	60.6132	0
3588.833333	203.632	60.0288	0
3589.000000	208.021	59.3297	0
3589.166667	212.243	58.5239	0
3589.333333	216.29	57.62	0
3589.500000	220.159	56.6266	0
3589.666667	223.851	55.5522	0
3589.833333	227.371	54.4047	0
3590.000000	230.726	53.192	0
3590.166667	233.925	51.921	0
3590.333333	236.977	50.5984	0
3590.500000	239.892	49.2302	0
3590.666667	242.682	47.8218	0
3590.833333	245.355	46.3782	0
3591.000000	247.923	44.904	0
3591.166667	250.394	43.4032	0
