Time [min]	Var09.1 [---]	Var09.2 [---]	Var09.3 [---]	Var09.4 [---]	Var09.5 [---]	Var09.6 [---]
213540	0.05	0.05	0.05	0.05	1.05	0.05
213570	0.71	0.39	0.05	1.05	1	0.05
213600	0.58	0.52	0.05	1.05	0.94	0.05
213630	0.43	0.67	0.05	1.05	0.86	0.05
213660	0.29	0.81	0.05	1.05	0.76	0.12
213690	0.24	0.93	0.12	1.05	0.63	0.38
213720	0.26	1.02	0.23	1.05	0.44	0.77
213750	0.31	1.05	0.31	1.02	0.12	1.05
213780	0.35	1.05	0.35	0.95	0.05	1.05
213810	0.37	1.05	0.37	0.91	0.05	1.05
213840	0.38	1.05	0.38	0.89	0.05	1.05
