   Simtime [s] 	   Realtime [s]	 Percentage [%]
         295200	      0.5002688	         24.405
         558000	       1.001144	         46.131
         735600	       1.501312	         60.813
         925800	       2.002193	         76.538
        1044000	       2.502725	          86.31
